#Release 12.2 - par M.63c (nt)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Wed Feb 09 15:03:56 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       amstrad_switch_z80_vga_sans_son_map.ncd
#OUTPUT FILE:      amstrad_switch_z80_vga_sans_son_pad.csv
#PART TYPE:        xc3s200
#SPEED GRADE:      -5
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,
A3,A<2>,IOB,IO/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A4,A<15>,IOB,IO_L01P_0/VRN_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A5,A<13>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A6,,,VCCAUX,,,,,,,,2.5,,,,
A7,A<4>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A8,A<0>,IOB,IO_L32P_0/GCLK6,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A9,,IOB,IO,UNUSED,,1,,,,,,,,,
A10,,DIFFS,IO_L31N_1/VREF_1,UNUSED,,1,,,,,,,,,
A11,,,VCCAUX,,,,,,,,2.5,,,,
A12,,IOB,IO,UNUSED,,1,,,,,,,,,
A13,,DIFFS,IO_L10N_1/VREF_1,UNUSED,,1,,,,,,,,,
A14,,DIFFS,IO_L01N_1/VRP_1,UNUSED,,1,,,,,,,,,
A15,,,TDO,,,,,,,,,,,,
A16,,,GND,,,,,,,,,,,,
B1,ram_D<7>,IOB,IO_L01P_7/VRN_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
B2,,,GND,,,,,,,,,,,,
B3,,,PROG_B,,,,,,,,,,,,
B4,A<5>,IOB,IO_L01N_0/VRP_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B5,A<14>,IOB,IO_L25P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B6,D<3>,IOB,IO_L28P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B7,D<2>,IOB,IO_L30P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B8,A<1>,IOB,IO_L32N_0/GCLK7,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B9,,,GND,,,,,,,,,,,,
B10,,DIFFM,IO_L31P_1,UNUSED,,1,,,,,,,,,
B11,,DIFFS,IO_L29N_1,UNUSED,,1,,,,,,,,,
B12,,DIFFS,IO_L27N_1,UNUSED,,1,,,,,,,,,
B13,,DIFFM,IO_L10P_1,UNUSED,,1,,,,,,,,,
